,speed,course,rot,collection_type,PC1,Pc2
20687,5.7,47.0,18.0,1,-0.7685250665135047,-2.4703205580889542
20688,5.7,55.0,-16.0,1,-0.1683790032380349,-2.4003506310470013
20689,5.7,49.0,-16.0,1,-0.1679346779424314,-2.4482451683452275
20690,5.7,57.0,13.0,1,-0.6809217120547646,-2.3895977198501
20691,5.7,46.0,23.0,1,-0.8567949089156504,-2.479201590380471
20692,5.7,59.0,-7.0,1,-0.0362322979498135,-2.257713957803849
20693,5.7,51.0,13.0,1,-0.6804773867591608,-2.437492257148326
20694,5.7,57.0,-13.0,1,-0.2215334496407507,-2.3849249509260138
20695,5.7,52.0,13.0,1,-0.6805514409750949,-2.4295098342652888
20698,6.2,57.0,-9.0,1,-0.2937443618191457,-2.2365005102105573
20699,6.2,53.0,21.0,1,-0.8235115246638876,-2.273821858193578
20700,6.2,53.0,5.0,1,-0.2493491194215323,-2.158621829440183
20701,6.2,53.0,13.0,1,-0.6821612900749602,-2.272384083140012
20702,6.2,54.0,-8.0,1,-0.3111909784949598,-2.260627500741366
20703,6.2,58.0,-13.0,1,-0.223143298740616,-2.2277991998007374
20704,6.2,53.0,-5.0,1,-0.3641232622498737,-2.26914908926949
20705,6.2,52.0,9.0,1,-0.6114121185645626,-2.279647618496267
20706,6.2,53.0,22.0,1,-0.8411803039875035,-2.2740015800752733
20707,6.2,52.0,12.0,1,-0.6644184565354102,-2.2801867841413537
20708,6.2,53.0,-13.0,1,0.0686889084035542,-2.155386835569661
20709,6.2,57.0,17.0,1,-0.7531326242331595,-2.241173279134644
20710,6.2,54.0,17.0,1,-0.7529104615853577,-2.265120547783757
20711,6.2,52.0,0.0,1,-0.4523931046520192,-2.2780301215610064
20712,6.2,58.0,20.0,1,-0.8062130164199414,-2.233730021896694
20713,6.2,52.0,18.0,1,-0.7704311324771058,-2.281265115431528
20714,6.2,52.0,18.0,1,-0.7704311324771058,-2.281265115431528
20715,6.2,58.0,-13.0,1,-0.223143298740616,-2.2277991998007374
20716,6.2,54.0,-7.0,1,-0.3288597578185757,-2.2608072226230607
20717,6.2,57.0,-13.0,1,-0.2230692445246819,-2.235781622683774
20721,6.7,55.0,13.0,1,-0.6838451933907594,-2.107275909131697
20722,6.7,54.0,25.0,1,-0.8957964910582166,-2.1174149945950824
20723,6.7,55.0,-15.0,1,-0.1891193723295137,-2.102243696444219
20724,6.7,56.0,11.0,1,-0.6485816889594614,-2.0989340424852685
20725,6.7,55.0,-8.0,1,-0.3128008275948251,-2.1035017496160884
20726,6.7,56.0,-16.0,1,0.1199372888426688,-1.9817570730332223
20727,6.7,56.0,7.0,1,-0.5779065716649978,-2.0982151549584858
30,6.0,59.9,15.0,1,-0.425933568794063,-2.164997661661076
31,6.0,54.5,6.0,1,-0.2665146621154765,-2.2064852482942183
32,6.0,50.0,7.0,1,-0.2838501974673897,-2.242585873149584
33,6.0,51.2,-17.0,1,0.1401116412402715,-2.2286936405292423
34,6.0,62.5,-22.0,1,0.2276187252182978,-2.1375936525424395
55,6.5,48.5,7.0,1,-0.2852749110274202,-2.1054161792319004
56,6.5,58.8,10.0,1,-0.3390440074223874,-2.0237363891817
57,6.5,60.8,-9.0,1,-0.0034853087055529,-2.004356827663407
58,6.5,58.8,17.0,1,-0.4627254626876989,-2.0249944423535693
